governor,state,time_in_office,party,year
Mike Huckabee,Arkansas,1996 - 2007,Republican,2005
George E. Pataki,New York,1995 - 2007,Republican,2005
M. Jodi Rell,Connecticut,2004 - 2011,Republican,2004
Kathleen Babineaux Blanco,Louisiana,2004 - 2008,Democrat,2004
Haley Barbour,Mississippi,2004 - 2012,Republican,2004
Ernie Fletcher,Kentucky,2003 - 2007,Republican,2004
Arnold Schwarzenegger,California,2003 - 2011,Republican,2004
Olene Smith Walker,Utah,2003 - 2005,Republican,2004
Joseph E. Kernan,Indiana,2003 - 2005,Democrat,2004
Togiola T. A. Tulafono,American Samoa,2003 - 2013,Democrat,2004
Edward G. Rendell,Pennsylvania,2003 - 2011,Democrat,2004
Bob Riley,Alabama,2003 - 2011,Republican,2004
Phil Bredesen,Tennessee,2003 - 2011,Democrat,2004
Mark Sanford,South Carolina,2003 - 2011,Republican,2004
Robert L. Ehrlich,Maryland,2003 - 2007,Republican,2004
Sonny Perdue,Georgia,2003 - 2011,Republican,2004
Rod R. Blagojevich,Illinois,2003 - 2009,Democrat,2004
Brad Henry,Oklahoma,2003 - 2011,Democrat,2004
Ted Kulongoski,Oregon,2003 - 2011,Democrat,2004
Craig Benson,New Hampshire,2003 - 2005,Republican,2004
Kathleen Sebelius,Kansas,2003 - 2009,Democrat,2004
Jim Douglas,Vermont,2003 - 2011,Republican,2004
John E. Baldacci,Maine,2003 - 2011,Democrat,2004
Mike Rounds,South Dakota,2003 - 2011,Republican,2004
Don Carcieri,Rhode Island,2003 - 2011,Republican,2004
Janet Napolitano,Arizona,2003 - 2009,Democrat,2004
Dave Freudenthal,Wyoming,2003 - 2011,Democrat,2004
Jim Doyle,Wisconsin,2003 - 2011,Democrat,2004
Tim Pawlenty,Minnesota,2003 - 2011,Republican,2004
Felix P. Camacho,Guam,2003 - 2011,Republican,2004
Bill Richardson,New Mexico,2003 - 2011,Democrat,2004
Jennifer M. Granholm,Michigan,2003 - 2011,Democrat,2004
Mitt Romney,Massachusetts,2003 - 2007,Republican,2004
